"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","polango","src/polango/Driver.java","3","6","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","polango","src/polango/Driver.java","3","6","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"3","polango","src/polango/Driver.java","3","6","CommentRequired: Class comments are required","Documentation","CommentRequired"
"4","polango","src/polango/Driver.java","3","6","CommentRequired: Class comments are required","Documentation","CommentRequired"
"5","polango","src/polango/Driver.java","3","8","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"6","polango","src/polango/Driver.java","3","8","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"7","polango","src/polango/Driver.java","3","12","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"8","polango","src/polango/Driver.java","3","12","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"9","polango","src/polango/Driver.java","3","12","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"10","polango","src/polango/Driver.java","3","12","LawOfDemeter: Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"11","saringo","src/saringo/TestTest.java","3","12","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"12","saringo","src/saringo/TestTest.java","3","12","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"13","saringo","src/saringo/TestTest.java","3","12","CommentRequired: Class comments are required","Documentation","CommentRequired"
"14","saringo","src/saringo/TestTest.java","3","12","CommentRequired: Class comments are required","Documentation","CommentRequired"
"15","saringo","src/saringo/TestTest.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"16","saringo","src/saringo/TestTest.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"17","saringo","src/saringo/TestTest.java","3","14","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"18","saringo","src/saringo/TestTest.java","3","14","MutableStaticState: Do not use non-final non-private static fields","Design","MutableStaticState"
"19","saringo","src/saringo/TestTest.java","3","15","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"20","saringo","src/saringo/TestTest.java","3","15","BeanMembersShouldSerialize: Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"21","saringo","src/saringo/TestTest.java","3","15","CommentRequired: Field comments are required","Documentation","CommentRequired"
"22","saringo","src/saringo/TestTest.java","3","15","CommentRequired: Field comments are required","Documentation","CommentRequired"
"23","saringo","src/saringo/TestTest.java","1","15","FieldNamingConventions: The field name 'Currtitle' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"24","saringo","src/saringo/TestTest.java","1","15","FieldNamingConventions: The field name 'Currtitle' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"25","saringo","src/saringo/TestTest.java","1","15","VariableNamingConventions: Variables should start with a lowercase character, 'Currtitle' starts with uppercase character.","Code Style","VariableNamingConventions"
"26","saringo","src/saringo/TestTest.java","1","15","VariableNamingConventions: Variables should start with a lowercase character, 'Currtitle' starts with uppercase character.","Code Style","VariableNamingConventions"
"27","saringo","src/saringo/TestTest.java","3","18","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"28","saringo","src/saringo/TestTest.java","3","18","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"29","saringo","src/saringo/TestTest.java","3","19","LocalVariableCouldBeFinal: Local variable 'chromedriver' could be declared final","Code Style","LocalVariableCouldBeFinal"
"30","saringo","src/saringo/TestTest.java","3","19","LocalVariableCouldBeFinal: Local variable 'chromedriver' could be declared final","Code Style","LocalVariableCouldBeFinal"
"31","saringo","src/saringo/TestTest.java","5","21","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'homeurl' (lines '21'-'22').","Error Prone","DataflowAnomalyAnalysis"
"32","saringo","src/saringo/TestTest.java","5","21","DataflowAnomalyAnalysis: Found 'DU'-anomaly for variable 'homeurl' (lines '21'-'22').","Error Prone","DataflowAnomalyAnalysis"
"33","saringo","src/saringo/TestTest.java","3","21","LocalVariableCouldBeFinal: Local variable 'homeurl' could be declared final","Code Style","LocalVariableCouldBeFinal"
"34","saringo","src/saringo/TestTest.java","3","21","LocalVariableCouldBeFinal: Local variable 'homeurl' could be declared final","Code Style","LocalVariableCouldBeFinal"
"35","saringo","src/saringo/TestTest.java","5","21","UnusedLocalVariable: Avoid unused local variables such as 'homeurl'.","Best Practices","UnusedLocalVariable"
"36","saringo","src/saringo/TestTest.java","5","21","UnusedLocalVariable: Avoid unused local variables such as 'homeurl'.","Best Practices","UnusedLocalVariable"
"37","saringo","src/saringo/TestTest.java","3","25","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"38","saringo","src/saringo/TestTest.java","3","25","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"39","saringo","src/saringo/TestTest.java","1","25","MethodNamingConventions: The instance method name 'MMT_TS01_TC001_URLTest' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"40","saringo","src/saringo/TestTest.java","1","25","MethodNamingConventions: The instance method name 'MMT_TS01_TC001_URLTest' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"41","saringo","src/saringo/TestTest.java","2","30","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
"42","saringo","src/saringo/TestTest.java","2","30","SystemPrintln: System.out.println is used","Best Practices","SystemPrintln"
